question,golden_answer,context,our_answer_wo_context,our_answer_w_context
What are the four divisions?,"the 2nd Canadian Division, the 3rd Canadian Division, the 4th Canadian Division and the 5th Canadian Division","The Canadian Army is headed by the Commander of the Canadian Army and administered through four divisions—the 2nd Canadian Division, the 3rd Canadian Division, the 4th Canadian Division and the 5th Canadian Division—the Canadian Army Doctrine and Training System and the Canadian Army Headquarters.",I'll provide short answers. What are you referring to?,"2nd Canadian Division
3rd Canadian Division
4th Canadian Division
5th Canadian Division"
When was Archives II opened?,1994,"Because of space constraints, NARA opened a second facility, known informally as Archives II, in 1994 near the University of Maryland, College Park campus (8601 Adelphi Road, College Park, MD, 20740-6001). Largely because of this proximity, NARA and the University of Maryland engage in cooperative initiatives. The College Park campus includes an archaeological site that was listed on the National Register of Historic Places in 1996.","I'm not aware of any information about ""Archives II"".",In 1994.
"According to Genshin, whats has the power to destroy karma?",Amitābha,"In Theravada Buddhism there can be no divine salvation or forgiveness for one's karma, since it is a purely impersonal process that is a part of the makeup of the universe.[citation needed] In Mahayana Buddhism, the texts of certain Mahayana sutras (such as the Lotus Sutra, the Aṅgulimālīya Sūtra and the Mahāyāna Mahāparinirvāṇa Sūtra) claim that the recitation or merely the hearing of their texts can expunge great swathes of negative karma. Some forms of Buddhism (for example, Vajrayana) regard the recitation of mantras as a means for cutting off of previous negative karma. The Japanese Pure Land teacher Genshin taught that Amitābha has the power to destroy the karma that would otherwise bind one in saṃsāra.",The Archon Vayu,Amitābha.
What did previous religious orders do for a living?,farms,"Dominic sought to establish a new kind of order, one that would bring the dedication and systematic education of the older monastic orders like the Benedictines to bear on the religious problems of the burgeoning population of cities, but with more organizational flexibility than either monastic orders or the secular clergy. Dominic's new order was to be a preaching order, trained to preach in the vernacular languages. Rather than earning their living on vast farms as the monasteries had done, the new friars would survive by begging, ""selling"" themselves through persuasive preaching.","Here are some examples:

1. Monks: farmed, herded, and traded.
2. Fri",Earned their living on vast farms.
What is the name of the local government?,Xunta de Galicia,"The name evolved during the Middle Ages from Gallaecia, sometimes written Galletia, to Gallicia. In the 13th century, with the written emergence of the Galician language, Galiza became the most usual written form of the name of the country, being replaced during the 15th and 16th centuries by the current form, Galicia, which coincides with the Castilian Spanish name. The historical denomination Galiza became popular again during the end of the 19th and the first three-quarters of the 20th century, being still used with some frequency today, although not by the Xunta de Galicia, the local devolved government. The Royal Galician Academy, the institution responsible for regulating the Galician language, whilst recognizing it as a legitimate current denomination, has stated that the only official name of the country is Galicia.",What is the local government you are referring to?,Xunta de Galicia.
Unedited machine translation will miss what crucial aspect of human language?,context-embedded,"Relying exclusively on unedited machine translation, however, ignores the fact that communication in human language is context-embedded and that it takes a person to comprehend the context of the original text with a reasonable degree of probability. It is certainly true that even purely human-generated translations are prone to error; therefore, to ensure that a machine-generated translation will be useful to a human being and that publishable-quality translation is achieved, such translations must be reviewed and edited by a human.",Emotional nuances.,Context-embeddedness.
In what year did the Ostrogoths settle in the Roman Empire?,376,"In 376, the Ostrogoths, fleeing from the Huns, received permission from Emperor Valens (r. 364–378) to settle in the Roman province of Thracia in the Balkans. The settlement did not go smoothly, and when Roman officials mishandled the situation, the Ostrogoths began to raid and plunder.[D] Valens, attempting to put down the disorder, was killed fighting the Ostrogoths at the Battle of Adrianople on 9 August 378. As well as the threat from such tribal confederacies from the north, internal divisions within the empire, especially within the Christian Church, caused problems. In 400, the Visigoths invaded the Western Roman Empire and, although briefly forced back from Italy, in 410 sacked the city of Rome. In 406 the Alans, Vandals, and Suevi crossed into Gaul; over the next three years they spread across Gaul and in 409 crossed the Pyrenees Mountains into modern-day Spain. The Migration Period began, where various people, initially largely Germanic peoples, moved across Europe. The Franks, Alemanni, and the Burgundians all ended up in northern Gaul while the Angles, Saxons, and Jutes settled in Britain. In the 430s the Huns began invading the empire; their king Attila (r. 434–453) led invasions into the Balkans in 442 and 447, Gaul in 451, and Italy in 452. The Hunnic threat remained until Attila's death in 453, when the Hunnic confederation he led fell apart. These invasions by the tribes completely changed the political and demographic nature of what had been the Western Roman Empire.",Ostrogoths settled 395 AD.,376.
"Due to increased unemployment, who mainly opposed the Shah's regime?",millions of youth who had migrated to the cities,"Due to the 1973 spike in oil prices, the economy of Iran was flooded with foreign currency, which caused inflation. By 1974, the economy of Iran was experiencing double digit inflation, and despite many large projects to modernize the country, corruption was rampant and caused large amounts of waste. By 1975 and 1976, an economic recession led to increased unemployment, especially among millions of youth who had migrated to the cities of Iran looking for construction jobs during the boom years of the early 1970s. By the late 1970s, many of these people opposed the Shah's regime and began to organize and join the protests against it.",Students and intellectuals.,Millions of youth.
How many miles are between Alaska and Washington state?,500,"Alaska is the northernmost and westernmost state in the United States and has the most easterly longitude in the United States because the Aleutian Islands extend into the eastern hemisphere. Alaska is the only non-contiguous U.S. state on continental North America; about 500 miles (800 km) of British Columbia (Canada) separates Alaska from Washington. It is technically part of the continental U.S., but is sometimes not included in colloquial use; Alaska is not part of the contiguous U.S., often called ""the Lower 48"". The capital city, Juneau, is situated on the mainland of the North American continent but is not connected by road to the rest of the North American highway system.","Approximately 1,400 miles.",500 miles.
Who founded the record label Rough Trade?,Geoff Travis,"During the initial punk era, a variety of entrepreneurs interested in local punk-influenced music scenes began founding independent record labels, including Rough Trade (founded by record shop owner Geoff Travis) and Factory (founded by Manchester-based television personality Tony Wilson). By 1977, groups began pointedly pursuing methods of releasing music independently , an idea disseminated in particular by the Buzzcocks' release of their Spiral Scratch EP on their own label as well as the self-released 1977 singles of Desperate Bicycles. These DIY imperatives would help form the production and distribution infrastructure of post-punk and the indie music scene that later blossomed in the mid-1980s.", Geoff Travis,Geoff Travis.
Steel and other very practical metals are also named what?,alloys,"The term ""alloy"" is sometimes used in everyday speech as a synonym for a particular alloy. For example, automobile wheels made of an aluminium alloy are commonly referred to as simply ""alloy wheels"", although in point of fact steels and most other metals in practical use are also alloys. Steel is such a common alloy that many items made from it, like wheels, barrels, or girders, are simply referred to by the name of the item, assuming it is made of steel. When made from other materials, they are typically specified as such, (i.e.: ""bronze wheel,"" ""plastic barrel,"" or ""wood girder"").",Hagfish slime,"""Alloys"""
"Along with the Unity Church, what contemporary religious movement may be regarded as idealist?",New Thought,"Christian theologians have held idealist views, often based on Neoplatonism, despite the influence of Aristotelian scholasticism from the 12th century onward. Later western theistic idealism such as that of Hermann Lotze offers a theory of the ""world ground"" in which all things find their unity: it has been widely accepted by Protestant theologians. Several modern religious movements, for example the organizations within the New Thought Movement and the Unity Church, may be said to have a particularly idealist orientation. The theology of Christian Science includes a form of idealism: it teaches that all that truly exists is God and God's ideas; that the world as it appears to the senses is a distortion of the underlying spiritual reality, a distortion that may be corrected (both conceptually and in terms of human experience) through a reorientation (spiritualization) of thought.",New Thought movement,New Thought Movement.
Who discovered morphine?,Friedrich Sertürner,"The modern pharmaceutical industry traces its roots to two sources. The first of these were local apothecaries that expanded from their traditional role distributing botanical drugs such as morphine and quinine to wholesale manufacture in the mid 1800s. Rational drug discovery from plants started particularly with the isolation of morphine, analgesic and sleep-inducing agent from opium, by the German apothecary assistant Friedrich Sertürner, who named the compound after the Greek god of dreams, Morpheus. Multinational corporations including Merck, Hoffman-La Roche, Burroughs-Wellcome (now part of Glaxo Smith Kline), Abbott Laboratories, Eli Lilly and Upjohn (now part of Pfizer) began as local apothecary shops in the mid-1800s. By the late 1880s, German dye manufacturers had perfected the purification of individual organic compounds from coal tar and other mineral sources and had also established rudimentary methods in organic chemical synthesis. The development of synthetic chemical methods allowed scientists to systematically vary the structure of chemical substances, and growth in the emerging science of pharmacology expanded their ability to evaluate the biological effects of these structural changes.",Meissner and Korsakoff.,Friedrich Sertürner.
"There is an educational facility in Manzini within Swaziland known by the acronym MITC, what does it stand for?",Manzini Industrial and Training Centre,"The main centre for technical training in Swaziland is the Swaziland College of Technology which is slated to become a full university. It aims to provide and facilitating high quality training and learning in technology and business studies in collaboration with the Commercial, Industrial and Public Sectors. Other technical and vocational institutions are the Gwamile Vocational and Commercial Training Institute located in Matsapha and the Manzini Industrial and Training Centre (MITC) in Manzini. Other vocational institutions include Nhlangano Agricultural Skills Training Center and Siteki Industrial Training Centre.",Manzini Institute of Technology and Commerce,Manzini Industrial and Training Centre.
Which form of government did Galicia start using in 1975,democracy,"As part of the transition to democracy upon the death of Franco in 1975, Galicia regained its status as an autonomous region within Spain with the Statute of Autonomy of 1981, which begins, ""Galicia, historical nationality, is constituted as an Autonomous Community to access to its self-government, in agreement with the Spanish Constitution and with the present Statute (...)"". Varying degrees of nationalist or independentist sentiment are evident at the political level. The Bloque Nacionalista Galego or BNG, is a conglomerate of left-wing parties and individuals that claims Galician political status as a nation.",Autonomous Community,Autonomous region
Which cardinal became heavily engaged in the passage of Nostra aetate?,Cardinal Augustin Bea,"During Vatican II, the Council Fathers avoided statements which might anger Christians of other faiths.[page needed] Cardinal Augustin Bea, the President of the Christian Unity Secretariat, always had the full support of Paul VI in his attempts to ensure that the Council language was friendly and open to the sensitivities of Protestant and Orthodox Churches, whom he had invited to all sessions at the request of Pope John XXIII. Bea also was strongly involved in the passage of Nostra aetate, which regulates the Church's relations with the Jewish faith and members of other religions.[d]",John XXIII,Cardinal Augustin Bea.
What is the name of Comcast's affiliated political action committee?,Comcast Corporation and NBCUniversal Political Action Committee,"With $18.8 million spent in 2013, Comcast has the seventh largest lobbying budget of any individual company or organization in the United States. Comcast employs multiple former US Congressmen as lobbyists. The National Cable & Telecommunications Association, which has multiple Comcast executives on its board, also represents Comcast and other cable companies as the fifth largest lobbying organization in the United States, spending $19.8 million in 2013. Comcast was among the top backers of Barack Obama's presidential runs, with Comcast vice president David Cohen raising over $2.2 million from 2007 to 2012. Cohen has been described by many sources as influential in the US government, though he is no longer a registered lobbyist, as the time he spends lobbying falls short of the 20% which requires official registration. Comcast's PAC, the Comcast Corporation and NBCUniversal Political Action Committee, is the among the largest PACs in the US, raising about $3.7 million from 2011-2012 for the campaigns of various candidates for office in the United States Federal Government. Comcast is also a major backer of the National Cable and Telecommunications Association Political Action Committee, which raised $2.6 million from 2011-2012. Comcast spent the most money of any organization in support of the Stop Online Piracy and PROTECT IP bills, spending roughly $5 million to lobby for their passage.",Comcast's PAC is called Comcast PAC.,Comcast Corporation and NBCUniversal Political Action Committee.
What was the second consideration?,the conclusion British morale was unlikely to break,"Even so, the decision by OKL to support the strategy in Directive 23 was instigated by two considerations, both of which had little to do with wanting to destroy Britain's sea communications in conjunction with the Kriegsmarine. First, the difficulty in estimating the impact of bombing upon war production was becoming apparent, and second, the conclusion British morale was unlikely to break led OKL to adopt the naval option. The indifference displayed by OKL to Directive 23 was perhaps best demonstrated in operational directives which diluted its effect. They emphasised the core strategic interest was attacking ports but they insisted in maintaining pressure, or diverting strength, onto industries building aircraft, anti-aircraft guns, and explosives. Other targets would be considered if the primary ones could not be attacked because of weather conditions.",I'm ready to assist. What is the question?,British morale was unlikely to break.
Who did America support during the Chinese Civil War?,the Nationalists,"After the formation of the People's Republic of China in 1949, the Chinese government named the Western nations, led by the United States, as the biggest threat to its national security. Basing this judgment on China's century of humiliation beginning in the early 19th century, American support for the Nationalists during the Chinese Civil War, and the ideological struggles between revolutionaries and reactionaries, the Chinese leadership believed that China would become a critical battleground in the United States' crusade against Communism. As a countermeasure and to elevate China's standing among the worldwide Communist movements, the Chinese leadership adopted a foreign policy that actively promoted Communist revolutions throughout territories on China's periphery.",Nationalist China,The Nationalists.
How does grain become malted?,by soaking it in water,"The starch source in a beer provides the fermentable material and is a key determinant of the strength and flavour of the beer. The most common starch source used in beer is malted grain. Grain is malted by soaking it in water, allowing it to begin germination, and then drying the partially germinated grain in a kiln. Malting grain produces enzymes that convert starches in the grain into fermentable sugars. Different roasting times and temperatures are used to produce different colours of malt from the same grain. Darker malts will produce darker beers.",Steeping in water.,"Grain is soaked in water, then germinated, and dried in a kiln."
What was Burke made chairman of in 1781?,the Commons Select Committee on East Indian Affairs,"For years Burke pursued impeachment efforts against Warren Hastings, formerly Governor-General of Bengal, that resulted in the trial during 1786. His interaction with the British dominion of India began well before Hastings' impeachment trial. For two decades prior to the impeachment, Parliament had dealt with the Indian issue. This trial was the pinnacle of years of unrest and deliberation. In 1781 Burke was first able to delve into the issues surrounding the East India Company when he was appointed Chairman of the Commons Select Committee on East Indian Affairs—from that point until the end of the trial; India was Burke's primary concern. This committee was charged ""to investigate alleged injustices in Bengal, the war with Hyder Ali, and other Indian difficulties"". While Burke and the committee focused their attention on these matters, a second 'secret' committee was formed to assess the same issues. Both committee reports were written by Burke. Among other purposes, the reports conveyed to the Indian princes that Britain would not wage war on them, along with demanding that the HEIC recall Hastings. This was Burke's first call for substantive change regarding imperial practices. When addressing the whole House of Commons regarding the committee report, Burke described the Indian issue as one that ""began 'in commerce' but 'ended in empire.'""",Burke chairman of Select Committee.,Commons Select Committee on East Indian Affairs.
Who had no doubts that a Franco-German war was totally necessary?,Chancellor Otto von Bismarck,"In Prussia, some officials considered a war against France both inevitable and necessary to arouse German nationalism in those states that would allow the unification of a great German empire. This aim was epitomized by Prussian Chancellor Otto von Bismarck's later statement: ""I did not doubt that a Franco-German war must take place before the construction of a United Germany could be realised."" Bismarck also knew that France should be the aggressor in the conflict to bring the southern German states to side with Prussia, hence giving Germans numerical superiority. Many Germans also viewed the French as the traditional destabilizer of Europe, and sought to weaken France to prevent further breaches of the peace.",Otto von Bismarck,Otto von Bismarck.
What did Augustus wish to do for Roman religion?,reform,"The meaning and origin of many archaic festivals baffled even Rome's intellectual elite, but the more obscure they were, the greater the opportunity for reinvention and reinterpretation — a fact lost neither on Augustus in his program of religious reform, which often cloaked autocratic innovation, nor on his only rival as mythmaker of the era, Ovid. In his Fasti, a long-form poem covering Roman holidays from January to June, Ovid presents a unique look at Roman antiquarian lore, popular customs, and religious practice that is by turns imaginative, entertaining, high-minded, and scurrilous; not a priestly account, despite the speaker's pose as a vates or inspired poet-prophet, but a work of description, imagination and poetic etymology that reflects the broad humor and burlesque spirit of such venerable festivals as the Saturnalia, Consualia, and feast of Anna Perenna on the Ides of March, where Ovid treats the assassination of the newly deified Julius Caesar as utterly incidental to the festivities among the Roman people. But official calendars preserved from different times and places also show a flexibility in omitting or expanding events, indicating that there was no single static and authoritative calendar of required observances. In the later Empire under Christian rule, the new Christian festivals were incorporated into the existing framework of the Roman calendar, alongside at least some of the traditional festivals.",Establish Augustus as god.,Cloak autocratic innovation.
What is another reason the times differ so much?,"no standardization of timepieces, or exact recording of hours and minutes was available","In Mark 15:25 crucifixion takes place at the third hour (9 a.m.) and Jesus' death at the ninth hour (3 p.m.). However, in John 19:14 Jesus is still before Pilate at the sixth hour. Scholars have presented a number of arguments to deal with the issue, some suggesting a reconciliation, e.g., based on the use of Roman timekeeping in John but not in Mark, yet others have rejected the arguments. Several notable scholars have argued that the modern precision of marking the time of day should not be read back into the gospel accounts, written at a time when no standardization of timepieces, or exact recording of hours and minutes was available, and time was often approximated to the closest three-hour period.",Time zones were established by railroads.,Lack of standardization.
Who resided at the School of Salerno in Regimen sanitatis Salernitanum?,Benedictine monks,"One mustn't overlook the doctrines of Galen: In use from his life in the 1st century AD until the 17th century, it was heresy to disagree with him for 1500 years. Galen was physician to gladiators in Pergamon, and in Rome, physician to Marcus Aurelius and the three emperors who succeeded him. Most of Galen's teachings were gathered and enhanced in the late 11th century by Benedictine monks at the School of Salerno in Regimen sanitatis Salernitanum, which still had users in the 17th century. Galen believed in the bodily humours of Hippocrates, and he taught that pneuma is the source of life. Four elements (earth, air, fire and water) combine into ""complexion"", which combines into states (the four temperaments: sanguine, phlegmatic, choleric, and melancholic). The states are made up of pairs of attributes (hot and moist, cold and moist, hot and dry, and cold and dry), which are made of four humours: blood, phlegm, green (or yellow) bile, and black bile (the bodily form of the elements). Galen thought that for a person to have gout, kidney stones, or arthritis was scandalous, which Gratzer likens to Samuel Butler's Erehwon (1872) where sickness is a crime.","School of Salerno residents: 

- Constantine the African 
- Averroes 
- Avic",Benedictine monks.
What organization validates degrees received from polytechnic schools?,the UK Council for National Academic Awards,"Polytechnics were tertiary education teaching institutions in England, Wales and Northern Ireland. Since 1970 UK Polytechnics operated under the binary system of education along with universities. Polytechnics offered diplomas and degrees (bachelor's, master's, PhD) validated at the national level by the UK Council for National Academic Awards CNAA. They particularly excelled in engineering and applied science degree courses similar to technological universities in the USA and continental Europe. The comparable institutions in Scotland were collectively referred to as Central Institutions. Britain's first Polytechnic, the Royal Polytechnic Institution later known as the Polytechnic of Central London (now the University of Westminster) was established in 1838 at Regent Street in London and its goal was to educate and popularize engineering and scientific knowledge and inventions in Victorian Britain ""at little expense."" The London Polytechnic led a mass movement to create numerous Polytechnic institutes across the UK in the late 19th Century. Most Polytechnic institutes were established at the centre of major metropolitan cities and their focus was on engineering, applied science and technology education.",Accrediting Commission of Career Schools and Colleges (ACCSC),UK Council for National Academic Awards (CNAA).
Can the antenna serve more than one fungtion at a time?,either transmitting or receiving,"It is a fundamental property of antennas that the electrical characteristics of an antenna described in the next section, such as gain, radiation pattern, impedance, bandwidth, resonant frequency and polarization, are the same whether the antenna is transmitting or receiving. For example, the ""receiving pattern"" (sensitivity as a function of direction) of an antenna when used for reception is identical to the radiation pattern of the antenna when it is driven and functions as a radiator. This is a consequence of the reciprocity theorem of electromagnetics. Therefore, in discussions of antenna properties no distinction is usually made between receiving and transmitting terminology, and the antenna can be viewed as either transmitting or receiving, whichever is more convenient.","Yes, some antennas can serve multiple functions.","Yes, it can."
What is now the daily uniform worn by members of the CAF?,operational dress is now the daily uniform,"Only service dress is suitable for CAF members to wear on any occasion, barring ""dirty work"" or combat. With gloves, swords, and medals (No. 1 or 1A), it is suitable for ceremonial occasions and ""dressed down"" (No. 3 or lower), it is suitable for daily wear. Generally, after the elimination of base dress (although still defined for the Air Force uniform), operational dress is now the daily uniform worn by most members of the CF, unless service dress is prescribed (such as at the NDHQ, on parades, at public events, etc.). Approved parkas are authorized for winter wear in cold climates and a light casual jacket is also authorized for cooler days. The navy, most army, and some other units have, for very specific occasions, a ceremonial/regimental full dress, such as the naval ""high-collar"" white uniform, kilted Highland, Scottish, and Irish regiments, and the scarlet uniforms of the Royal Military Colleges.",CAF uniform: Khaki shirt and trousers.,Operational dress.
What does grey-box testing involve?,having knowledge of internal data structures and algorithms,"Grey-box testing (American spelling: gray-box testing) involves having knowledge of internal data structures and algorithms for purposes of designing tests, while executing those tests at the user, or black-box level. The tester is not required to have full access to the software's source code.[not in citation given] Manipulating input data and formatting output do not qualify as grey-box, because the input and output are clearly outside of the ""black box"" that we are calling the system under test. This distinction is particularly important when conducting integration testing between two modules of code written by two different developers, where only the interfaces are exposed for test.",Grey-box testing involves testing a system with partial knowledge of its internal workings.,Having knowledge of internal data structures and algorithms.
How are USB devices linked?,in series through hubs,"The design architecture of USB is asymmetrical in its topology, consisting of a host, a multitude of downstream USB ports, and multiple peripheral devices connected in a tiered-star topology. Additional USB hubs may be included in the tiers, allowing branching into a tree structure with up to five tier levels. A USB host may implement multiple host controllers and each host controller may provide one or more USB ports. Up to 127 devices, including hub devices if present, may be connected to a single host controller. USB devices are linked in series through hubs. One hub—built into the host controller—is the root hub.","USB devices linked via:

1. USB Bus
2. Hub
3. Cable",Linked in series through hubs.
What company took over as American Idols music label in 2010?,UMG,"19 Recordings, a recording label owned by 19 Entertainment, currently hold the rights to phonographic material recorded by all the contestants. 19 originally partnered with Bertelsmann Music Group (BMG) to promote and distribute the recordings through its labels RCA Records, Arista Records, J Records, Jive Records. In 2005-2007, BMG partnered with Sony Music Entertainment to form a joint venture known as Sony BMG Music Entertainment. From 2008-2010, Sony Music handled the distribution following their acquisition of BMG. Sony Music was partnered with American Idol and distribute its music, and In 2010, Sony was replaced by as the music label for American Idol by UMG's Interscope-Geffen-A&M Records.",Interscope Records,Interscope-Geffen-A&M Records.
Who observed the specific heat capacity of H2?,Maxwell,"One of the first quantum effects to be explicitly noticed (but not understood at the time) was a Maxwell observation involving hydrogen, half a century before full quantum mechanical theory arrived. Maxwell observed that the specific heat capacity of H2 unaccountably departs from that of a diatomic gas below room temperature and begins to increasingly resemble that of a monatomic gas at cryogenic temperatures. According to quantum theory, this behavior arises from the spacing of the (quantized) rotational energy levels, which are particularly wide-spaced in H2 because of its low mass. These widely spaced levels inhibit equal partition of heat energy into rotational motion in hydrogen at low temperatures. Diatomic gases composed of heavier atoms do not have such widely spaced levels and do not exhibit the same effect.",I couldn't find any information on who specifically observed the specific heat capacity of H2.,James Clerk Maxwell.
What is the name of the largest US military base outside of US territory?,Camp Bondsteel,"Albania has often been called the 51st state for its perceived strongly pro-American positions, mainly because of the United States' policies towards it. In reference to President George W. Bush's 2007 European tour, Edi Rama, Tirana's mayor and leader of the opposition Socialists, said: ""Albania is for sure the most pro-American country in Europe, maybe even in the world ... Nowhere else can you find such respect and hospitality for the President of the United States. Even in Michigan, he wouldn't be as welcome."" At the time of ex-Secretary of State James Baker's visit in 1992, there was even a move to hold a referendum declaring the country as the 51st American state. In addition to Albania, Kosovo which is predominately Albanian is seen as a 51st state due to the heavily presence and influence of the United States. The US has had troops and the largest base outside US territory, Camp Bondsteel in the territory since 1999.",Ramstein Air Base,Camp Bondsteel.
What was the original valuation of the merger?,$67bn,"The combined business is expected to address the markets for scale-out architecture, converged infrastructure and private cloud computing, playing to the strengths of both EMC and Dell. Commentators have questioned the deal, with FBR Capital Markets saying that though it makes a ""ton of sense"" for Dell, it's a ""nightmare scenario that would lack strategic synergies"" for EMC. Fortune said there was a lot for Dell to like in EMC's portfolio, but ""does it all add up enough to justify tens of billions of dollars for the entire package? Probably not."" The Register reported the view of William Blair & Company that the merger would ""blow up the current IT chess board"", forcing other IT infrastructure vendors to restructure to achieve scale and vertical integration. The value of VMware stock fell 10% after the announcement, valuing the deal at around $63–64bn rather than the $67bn originally reported.",I don't have enough information to provide the original valuation of the merger.,$67 billion.
What allowed people to move across Beringia to North America?,falling sea levels,"The specifics of Paleo-Indian migration to and throughout the Americas, including the exact dates and routes traveled, provide the subject of ongoing research and discussion. According to archaeological and genetic evidence, North and South America were the last continents in the world with human habitation. During the Wisconsin glaciation, 50–17,000 years ago, falling sea levels allowed people to move across the land bridge of Beringia that joined Siberia to north west North America (Alaska). Alaska was a glacial refugia because it had low snowfall, allowing a small population to exist. The Laurentide Ice Sheet covered most of North America, blocking nomadic inhabitants and confining them to Alaska (East Beringia) for thousands of years.",Ice sheets.,Falling sea levels.
What types of variations does Biodiversity refer to?,"genetic variation, ecosystem variation, or species variation","Biodiversity, a contraction of ""biological diversity,"" generally refers to the variety and variability of life on Earth. One of the most widely used definitions defines it in terms of the variability within species, between species, and between ecosystems. It is a measure of the variety of organisms present in different ecosystems. This can refer to genetic variation, ecosystem variation, or species variation (number of species) within an area, biome, or planet. Terrestrial biodiversity tends to be greater near the equator, which seems to be the result of the warm climate and high primary productivity. Biodiversity is not distributed evenly on Earth. It is richest in the tropics. Marine biodiversity tends to be highest along coasts in the Western Pacific, where sea surface temperature is highest and in the mid-latitudinal band in all oceans. There are latitudinal gradients in species diversity. Biodiversity generally tends to cluster in hotspots, and has been increasing through time, but will be likely to slow in the future.","Species variation, genetic variation, morphological variation, ecological variation, functional variation, phylogenetic variation, tax","Genetic variation, ecosystem variation, species variation."
What can cause a break down of a biodiversity system?,If any one type is removed from the system,"A 2007 study conducted by the National Science Foundation found that biodiversity and genetic diversity are codependent—that diversity among species requires diversity within a species, and vice versa. ""If any one type is removed from the system, the cycle can break down, and the community becomes dominated by a single species."" At present, the most threatened ecosystems are found in fresh water, according to the Millennium Ecosystem Assessment 2005, which was confirmed by the ""Freshwater Animal Diversity Assessment"", organised by the biodiversity platform, and the French Institut de recherche pour le développement (MNHNP).","1. Habitat destruction
2. Climate change
3. Pollution
4. Overexploitation
5.",Removal of a species.
Why are these companies rewarded?,Because medical research and development of drugs to treat such diseases is financially disadvantageous,"There are special rules for certain rare diseases (""orphan diseases"") in several major drug regulatory territories. For example, diseases involving fewer than 200,000 patients in the United States, or larger populations in certain circumstances are subject to the Orphan Drug Act.  Because medical research and development of drugs to treat such diseases is financially disadvantageous, companies that do so are rewarded with tax reductions, fee waivers, and market exclusivity on that drug for a limited time (seven years), regardless of whether the drug is protected by patents.",Please provide the companies you'd like to know about.,Because medical research is financially disadvantageous.
What area of New Haven was Route 34 originally intended to service?,the city's western suburbs,"In 1954, then-mayor Richard C. Lee began some of the earliest major urban renewal projects in the United States. Certain sections of downtown New Haven were redeveloped to include museums, new office towers, a hotel, and large shopping complexes. Other parts of the city were affected by the construction of Interstate 95 along the Long Wharf section, Interstate 91, and the Oak Street Connector. The Oak Street Connector (Route 34), running between Interstate 95, downtown, and The Hill neighborhood, was originally intended as a highway to the city's western suburbs but was only completed as a highway to the downtown area, with the area to the west becoming a boulevard (See ""Redevelopment"" below).",I couldn't find any information about Route 34 in New Haven.,New Haven's western suburbs.
Who was responsible for imprisoning Li Ying?,Palace eunuchs,"Students from the Imperial University organized a widespread student protest against the eunuchs of Emperor Huan's court. Huan further alienated the bureaucracy when he initiated grandiose construction projects and hosted thousands of concubines in his harem at a time of economic crisis. Palace eunuchs imprisoned the official Li Ying (李膺) and his associates from the Imperial University on a dubious charge of treason. In 167 AD, the Grand Commandant Dou Wu (d. 168 AD) convinced his son-in-law, Emperor Huan, to release them. However the emperor permanently barred Li Ying and his associates from serving in office, marking the beginning of the Partisan Prohibitions.",I don't have information on Li Ying.,The palace eunuchs.
What was the group called that owed labour duty to the princes?,tribute-paying peasants,"In the 11th century and the 12th century, the princes and their retinues, which were a mixture of Slavic and Scandinavian elites, dominated the society of Kievan Rus'. Leading soldiers and officials received income and land from the princes in return for their political and military services. Kievan society lacked the class institutions and autonomous towns that were typical of Western European feudalism. Nevertheless, urban merchants, artisans and labourers sometimes exercised political influence through a city assembly, the veche (council), which included all the adult males in the population. In some cases, the veche either made agreements with their rulers or expelled them and invited others to take their place. At the bottom of society was a stratum of slaves. More important was a class of tribute-paying peasants, who owed labour duty to the princes. The widespread personal serfdom characteristic of Western Europe did not exist in Kievan Rus'.",Knights' Service,Tribute-paying peasants.
What did former BYU graduate Harvey Fletcher invent?,the hearing aid,"BYU alumni in academia include former Dean of the Harvard Business School Kim B. Clark, two time world's most influential business thinker Clayton M. Christensen, Michael K. Young '73, current president of the University of Washington, Matthew S. Holland, current president of Utah Valley University, Stan L. Albrecht, current president of Utah State University, Teppo Felin, Professor at the University of Oxford, and Stephen D. Nadauld, previous president of Dixie State University. The University also graduated Nobel Prize winner Paul D. Boyer, as well as Philo Farnsworth (inventor of the electronic television) and Harvey Fletcher (inventor of the hearing aid). Four of BYU's thirteen presidents were alumni of the University. Additionally, alumni of BYU who have served as business leaders include Citigroup CFO Gary Crittenden '76, former Dell CEO Kevin Rollins '84, Deseret Book CEO Sheri L. Dew, and Matthew K. McCauley, CEO of children's clothing company Gymboree.",Harvey Fletcher invented the microphone.,Hearing aid.
When do long distance migrants disperse?,as young birds,"Long distance migrants are believed to disperse as young birds and form attachments to potential breeding sites and to favourite wintering sites. Once the site attachment is made they show high site-fidelity, visiting the same wintering sites year after year.","Long distance migrants disperse:

- Spring: Many species
- Summer: Some species
- Fall: Many",As young birds.
